Player,TEAM,GP,W,L,MIN,Dist. Feet,Dist. Miles,Dist. Miles Off,Dist. Miles Def,Avg Speed (mph),Avg Speed Off,Avg Speed Def,Dist. KM,Dist. KM Off,Dist. KM Def,Avg Speed (km/h),Avg Speed (km/h) Off,Avg Speed (km/h) Def,AGE,DEF RTG,DREB,DREB%,%DREB,STL,STL%,BLK,%BLK,OPP PTS OFF TOV,OPP PTS 2ND CHANCE,OPP PTS FB,"OPP PTS, PAINT",DEF WS,WS,OWS,DWS,Distance KM PER36,Distance KM PER36 Off,Distance KM PER36 Def
Thomas Bryant,IND,66,44,22,14.6,5699.8,1.08,0.56,0.52,4.13,4.26,4.0,1.74,0.9,0.84,6.65,6.86,6.44,27,113.4,2.5,16.9,26.8,0.4,15.9,0.6,42.7,4.9,4.7,4.7,16.0,0.04,3.1,1.8,1.2,4.29,2.22,2.07
Marcus Sasser,DET,57,30,27,14.2,5825.8,1.1,0.58,0.52,4.31,4.57,4.06,1.77,0.93,0.84,6.94,7.35,6.53,24,107.5,0.9,6.0,9.5,0.6,23.3,0.1,4.4,5.6,4.9,4.1,13.2,0.063,1.8,1.0,0.8,4.49,2.36,2.13
Cameron Payne,NYK,72,46,26,15.1,6022.7,1.14,0.63,0.51,4.26,4.69,3.82,1.83,1.01,0.82,6.86,7.55,6.15,30,107.5,1.3,8.1,12.2,0.5,19.5,0.2,15.4,4.6,3.9,3.8,15.2,0.068,2.3,1.3,1.0,4.36,2.41,1.95
Jeff Dowtin Jr.,PHI,41,10,31,15.1,5901.4,1.12,0.61,0.51,4.11,4.39,3.83,1.8,0.98,0.82,6.61,7.07,6.16,28,116.7,1.2,7.9,12.8,0.6,23.3,0.3,18.5,4.7,5.0,5.1,16.7,0.026,1.3,1.1,0.3,4.29,2.34,1.95
Shake Milton,LAL,57,29,28,14.7,5813.8,1.1,0.6,0.5,4.17,4.3,4.04,1.77,0.97,0.8,6.71,6.92,6.5,28,113.1,1.3,8.6,13.2,0.4,18.8,0.1,5.2,5.8,4.4,4.5,14.1,0.041,1.3,0.8,0.5,4.33,2.38,1.96
Pat Connaughton,MIL,41,19,22,14.7,6072.6,1.15,0.65,0.5,4.39,4.84,3.9,1.85,1.05,0.8,7.07,7.79,6.28,32,114.6,2.2,14.0,21.4,0.2,11.8,0.3,15.3,5.5,4.4,3.7,14.0,0.034,1.2,0.6,0.6,4.53,2.57,1.96
Caleb Houstan,ORL,58,29,29,13.6,5826.2,1.1,0.61,0.49,4.49,4.86,4.1,1.77,0.98,0.79,7.23,7.82,6.6,22,108.2,1.0,7.3,11.5,0.4,16.9,0.1,6.5,5.1,3.8,3.8,13.5,0.057,1.8,0.9,0.9,4.69,2.59,2.09
Neemias Queta,BOS,62,46,16,13.9,5329.6,1.01,0.52,0.49,4.08,4.1,4.06,1.63,0.84,0.79,6.57,6.6,6.53,25,108.3,2.4,16.8,26.4,0.3,12.8,0.7,43.8,3.8,4.3,3.2,13.6,0.057,3.2,1.8,1.4,4.22,2.18,2.05
Jalen Pickett,DEN,49,31,18,13.6,5482.7,1.04,0.57,0.47,4.25,4.66,3.84,1.67,0.92,0.76,6.84,7.5,6.18,25,109.7,1.1,7.8,11.5,0.4,18.3,0.1,6.7,5.0,3.9,3.9,12.8,0.05,1.1,0.8,0.3,4.42,2.44,2.01
Steven Adams,HOU,58,38,20,13.7,5275.3,1.0,0.54,0.46,4.06,4.22,3.9,1.61,0.87,0.74,6.53,6.79,6.28,31,105.9,2.8,19.3,28.3,0.4,17.7,0.5,34.6,5.2,3.5,3.9,12.9,0.066,2.3,1.0,1.3,4.23,2.29,1.94
